Reference, Quantity, Value, Footprint, Datasheet
C14 ,1,"10nF","","~"
C19 C18 ,2,"0.01uF","","~"
C3 C13 ,2,"10uF","","~"
C4 C2 C7 ,3,"1uF, 100V","","~"
C6 ,1,"0.1uF, 100V","","~"
C8 ,1,"1uF","","~"
C9 C10 C11 C1 C5 C15 C16 C17 C12 ,9,"0.1uF","","~"
D1 ,1,"RB520S30","","~"
D2 D3 ,2,"SMBJ51CA-E3/52","","~"
D5 D4 ,2,"Green","","~"
D6 D7 D8 D9 ,4,"Blue","","~"
H1 H2 H3 H4 ,4,"MountingHole_Pad","","~"
J1 J2 ,2,"CAN Bus","","~"
J3 ,1,"SWD Programming","","~"
J4 ,1,"USB_B_Micro","","~"
L1 ,1,"33uH","","~"
M1 M2 M4 ,3,"PSMN4R8-100BSEJ","",""
M3 ,1,"BSS123","",""
R1 ,1,"0.5m","","~"
R10 ,1,"140k, 1%","","~"
R15 R3 ,2,"47k, 1%","","~"
R16 ,1,"6.8k, 1%","","~"
R17 ,1,"R_Small","","~"
R19 R18 ,2,"3M, 1%","","~"
R2 ,1,"470k","","~"
R21 R20 ,2,"200k, 1%","","~"
R4 ,1,"10","","~"
R5 R9 ,2,"100k","","~"
R7 R11 R6 R12 R13 R14 ,6,"220","","~"
R8 ,1,"499k, 1%","","~"
U1 ,1,"MAX15062A","Package_DFN_QFN:DFN-8_2x2mm_P0.5mm","http://datasheets.maximintegrated.com/en/ds/MAX15062.pdf"
U14 ,1,"LT1787HVIMS8PBF","",""
U15 ,1,"USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
U16 ,1,"STLM20DD9FUDFN-4L_STM-L","",""
U2 ,1,"STM32G474CEU6","UFQFPN-48_7X7X0P55MM",""
U3 ,1,"TCAN334G","","http://www.ti.com/lit/ds/symlink/tcan337.pdf"
U4 ,1,"ZXMP10A13FTA","",""
U5 ,1,"XT90","",""
U6 ,1,"FSV10150VTO277-3L_ONS-L","",""
U7 U8 U10 U11 U12 U13 ,6,"XT30","",""
U9 ,1,"TPS2490DGSR","",""
